WeatherPy_Database.csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
238,Terrace,CA,54.5163,-128.6035,33.71,100,100,4.61,overcast clouds
239,Atar,MR,20.5169,-13.0499,95.41,5,0,6.98,clear sky
240,Hofn,IS,64.2539,-15.2082,32.86,46,65,4.27,broken clouds
241,Mumford,GH,5.2618,-0.759,85.37,72,45,14.67,scattered clouds
242,Locri,IT,38.2414,16.2623,69.31,44,54,11.01,broken clouds
243,Kahului,US,20.8947,-156.47,74.84,77,0,7.0,clear sky
244,Pevek,RU,69.7008,170.3133,-14.8,99,98,7.23,overcast clouds
245,Nyrob,RU,60.733,56.7202,36.73,100,100,5.39,overcast clouds
246,Gamba,GA,-2.65,10.0,73.17,94,100,8.97,moderate rain
247,Kedrovyy,RU,56.1667,91.8167,28.87,95,100,4.94,overcast clouds
248,Port Macquarie,AU,-31.4333,152.9167,62.89,82,28,1.32,scattered clouds
249,Port Hardy,CA,50.6996,-127.4199,39.2,87,75,10.36,broken clouds
250,Birjand,IR,32.8663,59.2211,84.67,7,73,9.22,haze
251,Esperance,AU,-33.8667,121.9,58.84,56,37,6.42,scattered clouds
252,Sisimiut,GL,66.9395,-53.6735,15.8,72,52,2.66,broken clouds
253,Talnakh,RU,69.4865,88.3972,2.21,98,100,4.38,overcast clouds
254,Teluknaga,ID,-6.0989,106.6381,88.61,94,40,5.75,scattered clouds
255,Morehead,US,37.2711,-87.1764,42.78,71,0,12.66,clear sky
256,San Ignacio,BZ,17.1561,-89.0714,68.14,88,75,6.91,broken clouds
257,Hobyo,SO,5.3505,48.5268,83.91,69,15,13.15,few clouds
258,Bathsheba,BB,13.2167,-59.5167,81.21,78,75,21.85,broken clouds
259,Waddan,LY,29.1614,16.139,84.18,16,44,12.48,scattered clouds
260,Faanui,PF,-16.4833,-151.75,82.06,74,87,16.78,overcast clouds
261,Aksay,RU,47.26,39.87,61.02,51,95,11.01,overcast clouds
262,Pasaco,GT,13.9772,-90.2064,84.92,46,45,8.32,scattered clouds
263,Solnechnyy,RU,50.7214,136.6319,20.61,96,65,3.69,light snow
264,Bilibino,RU,68.0546,166.4372,-13.36,99,100,1.88,overcast clouds
265,Te Anau,NZ,-45.4167,167.7167,44.56,90,46,0.38,scattered clouds
266,Morant Bay,JM,17.8815,-76.4093,84.7,70,94,6.13,overcast clouds
267,Preeceville,CA,51.95,-102.6677,34.45,98,100,11.41,snow
268,Iqaluit,CA,63.7506,-68.5145,17.33,79,100,10.36,light snow
269,Ahipara,NZ,-35.1667,173.1667,59.4,78,32,5.66,scattered clouds
270,Flinders,AU,-34.5833,150.8552,65.37,92,48,5.01,light rain
271,Alice Springs,AU,-23.7,133.8833,69.22,32,0,0.0,clear sky
272,Joshimath,IN,30.5667,79.5667,59.63,64,90,5.61,overcast clouds
273,Krasnyy Oktyabr,RU,56.1167,38.8833,45.23,86,100,3.62,overcast clouds
274,Almaznyy,RU,48.0448,40.045,61.75,34,80,10.47,broken clouds
275,Dubbo,AU,-32.25,148.6167,62.73,94,40,13.8,scattered clouds
276,Katangli,RU,51.7102,143.2326,20.53,97,73,5.53,broken clouds
277,Moose Factory,CA,51.2585,-80.6094,24.78,80,100,12.66,overcast clouds
278,Shimanovsk,RU,52.0,127.7,32.43,86,100,2.84,overcast clouds
279,Chingola,ZM,-12.529,27.8838,69.26,84,93,6.67,light rain
280,Nanortalik,GL,60.1432,-45.2371,32.05,69,9,1.41,clear sky
281,Nusaybin,TR,37.0778,41.2178,72.34,37,0,12.86,clear sky
282,Klaksvik,FO,62.2266,-6.589,36.52,56,100,14.79,overcast clouds
283,Bonthe,SL,7.5264,-12.505,85.14,68,100,10.85,overcast clouds
284,Puerto Suarez,BO,-18.95,-57.8,84.76,69,40,4.61,scattered clouds
285,Clearlake,US,38.9582,-122.6264,48.25,55,2,4.79,clear sky
286,Bisira,PA,8.5196,-81.7115,62.46,91,100,4.52,overcast clouds
287,Yar-Sale,RU,66.8333,70.8333,5.0,95,100,2.59,overcast clouds
288,Illapel,CL,-31.6308,-71.1653,66.76,60,0,4.59,clear sky
289,Codrington,AU,-38.2667,141.9667,65.14,68,61,9.8,broken clouds
290,Bandarban,BD,22.1965,92.2262,83.91,86,0,2.86,clear sky
291,Nouadhibou,MR,20.931,-17.0347,75.18,60,0,11.5,clear sky
